model,fit_seconds,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,pr_auc_average_precision,brier_score,mcc,tn,fp,fn,tp
Logistic regression,12.34409785270691,0.922925,0.6260610438865812,0.3807876091613116,0.9772213451563041,0.4735494006352242,0.6790044771588079,0.7110104217907843,0.3311727557135701,0.17435196042060852,0.4503016507928659,177652,4141,11274,6933
Random forest,40.45304203033447,0.923255,0.6299799890849554,0.3804031416488164,0.9776229007717568,0.4743673161878018,0.6790130212102866,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.45186294700844043,177725,4068,11281,6926
Extra trees,25.140714645385742,0.92322,0.6295791291700754,0.3804031416488164,0.9775843954387683,0.47425362914270064,0.6789937685437923,0.7425376737026625,0.39724863236173524,0.17056001713638116,0.4516789449322973,177718,4075,11281,6926
