threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,pr_auc_average_precision,brier_score,mcc,tn,fp,fn,tp
0.05,0.097495,0.09162690983755058,1.0,0.00710698431732795,0.16787220800774497,0.503553492158664,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.02551844453058795,1292,180501,0,18207
0.1,0.11124,0.09280008167223909,0.9985170538803757,0.022377099228243113,0.1698176655208489,0.5104470765543094,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.04244072888254958,4068,177725,27,18180
0.15000000000000002,0.114715,0.09308044634348775,0.9978579667160982,0.026266137860093623,0.17027737554652683,0.5120620522880959,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.045277412694900265,4775,177018,39,18168
0.2,0.213555,0.1015618733312707,0.9735815894985446,0.13743653496009198,0.183935955505056,0.5555090622293183,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.09580347718574979,24985,156808,481,17726
0.25,0.283025,0.10829787234042554,0.9505135387488328,0.21617444015996215,0.1944417916149365,0.5833439894543975,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.1196494319672265,39299,142494,901,17306
0.3,0.285105,0.10853141236414748,0.9499642994452683,0.2185177647104124,0.19480658440849014,0.5842410320778404,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.12045112544750153,39725,142068,911,17296
0.35000000000000003,0.308735,0.11062963011014959,0.9366727082990058,0.2458455496086208,0.19788699299725576,0.5912591289538133,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.12490676629519032,44693,137100,1153,17054
0.4,0.456605,0.12549879956950077,0.8325918602735212,0.4189490244398849,0.2181198155355871,0.625770442356703,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.14794860043578323,76162,105631,3048,15159
0.45,0.787125,0.22047352482334587,0.5278189707255451,0.8130951136732437,0.31102840035601587,0.6704570421993944,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.23753861094298045,147815,33978,8597,9610
0.5,0.923255,0.6299799890849554,0.3804031416488164,0.9776229007717568,0.4743673161878018,0.6790130212102866,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.45186294700844043,177725,4068,11281,6926
0.55,0.9233,0.6305198943822271,0.38034821771845995,0.9776779083903121,0.47447756080849607,0.679013063054386,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.45207612218975246,177735,4058,11282,6925
0.6000000000000001,0.92335,0.6311184030626197,0.3802932937881035,0.9777384167707227,0.47460415381451776,0.6790158552794131,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.45231599097466485,177746,4047,11283,6924
0.6500000000000001,0.923365,0.6313868613138686,0.3800735980666777,0.9777769221037114,0.47450886275585424,0.6789252600851945,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.4523007374469032,177753,4040,11287,6920
0.7000000000000001,0.9234,0.6317903770656441,0.3800735980666777,0.9778154274367,0.47462277091906724,0.6789445127516889,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.4524855521533773,177760,4033,11287,6920
0.7500000000000001,0.9234,0.6317903770656441,0.3800735980666777,0.9778154274367,0.47462277091906724,0.6789445127516889,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.4524855521533773,177760,4033,11287,6920
0.8,0.923395,0.6318289786223278,0.37985390234525185,0.9778319297222665,0.47446231948684525,0.6788429160337592,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.452364853741676,177763,4030,11291,6916
0.8500000000000001,0.92341,0.6330968395835253,0.3773823254792113,0.9780959662913313,0.47288368891947696,0.6777391458852713,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.45138407055613206,177811,3982,11336,6871
0.9000000000000001,0.923835,0.6531726411207252,0.34827264239028943,0.9814789348324743,0.4543077198638725,0.6648757886113819,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.44138696829355284,178426,3367,11866,6341
0.9500000000000001,0.91955,0.7578562728380024,0.17086834733893558,0.9945322427156161,0.2788633918967372,0.5827002950272758,0.7427435285440903,0.3970826069670583,0.17044838466107162,0.335564934858905,180799,994,15096,3111
