model,device,train_seconds,accuracy,precision,recall,f1,roc_auc,confusion_matrix
Logistic Regression,CPU,9.748868465423584,0.922925,0.6260610438865812,0.3807876091613116,0.4735494006352242,0.7110106802574051,"[[177652, 4141], [11274, 6933]]"
Random Forest,CPU,26.551879167556763,0.923255,0.6299799890849554,0.3804031416488164,0.4743673161878018,0.7427435285440903,"[[177725, 4068], [11281, 6926]]"
Extra Trees,CPU,18.94589900970459,0.92322,0.6295791291700754,0.3804031416488164,0.47425362914270064,0.7425376737026625,"[[177718, 4075], [11281, 6926]]"
PCA + Linear SVM,CPU,0.8791065216064453,0.92278,0.6253743533895998,0.37848080408634044,0.4715664134674605,0.7109497327405441,"[[177665, 4128], [11316, 6891]]"
XGBoost,GPU,1.377885103225708,0.92323,0.6296464600563483,0.3805129895095293,0.47435809654228006,0.7432619654544292,"[[177718, 4075], [11279, 6928]]"
LightGBM,GPU,13.140724182128906,0.923235,0.6297508637934169,0.3804031416488164,0.4743023454887862,0.7430839005331968,"[[177721, 4072], [11281, 6926]]"
CatBoost,GPU,4.14655613899231,0.923225,0.6296363636363637,0.3804031416488164,0.47426986681275035,0.7427652865693857,"[[177719, 4074], [11281, 6926]]"
